Colname,VarValue,Clicks,Freq,CTR
app_category,07d7df22,300862,1498997,0.200708874
app_category,0f2161f8,57969,530556,0.109260851
app_category,cef3e649,10096,101705,0.099267489
app_category,f95efa07,9971,45908,0.21719526
app_category,8ded1f7a,6404,67553,0.094799639
app_category,d1327cf5,955,7310,0.130642955
app_category,09481d60,586,3757,0.155975512
app_category,dc97ec06,545,3011,0.181002989
app_category,75d80bbe,220,2319,0.094868478
app_category,4ce2e9fc,159,1167,0.136246787
app_category,879c24eb,94,842,0.111638955
app_category,fc6fa53d,77,1380,0.055797101
app_category,0f9a328c,50,341,0.146627566
app_category,4681bb9d,49,372,0.13172043
app_category,a3c42688,40,672,0.05952381
app_category,8df2e842,32,101,0.316831683
app_category,a86a3e89,19,142,0.133802817
app_category,Other,11,139,0.079136691
app_category,2281a340,3,145,0.020689655
app_domain,7801e8d9,306166,1559265,0.196352769
app_domain,2347f47a,33997,255884,0.132860984
app_domain,5c5a694b,12289,61486,0.199866636
app_domain,b9528b13,7587,38894,0.195068648
app_domain,b8d325c3,7208,30784,0.234147609
app_domain,d9b5648e,4929,44608,0.110495875
app_domain,ae637522,2783,115912,0.024009593
app_domain,6f7ca2ba,2701,12738,0.212042707
app_domain,82e27996,1998,42103,0.047455051
app_domain,33da2e74,1965,16808,0.116908615
app_domain,0e8616ad,1667,21770,0.076573266
app_domain,aefc06bd,1223,16993,0.071970812
app_domain,885c7f3f,729,4112,0.177285992
app_domain,df32afa9,509,17957,0.028345492
app_domain,45a51db4,508,2753,0.184525972
app_domain,99b4c806,450,703,0.640113798
app_domain,5b9c592b,324,5797,0.055890978
app_domain,0654b444,322,1495,0.215384615
app_domain,813f3323,193,1644,0.117396594
app_domain,Other,175,2376,0.073653199
app_domain,b5f3b24a,106,2777,0.038170688
app_domain,5c620f04,77,3171,0.024282561
app_domain,a8b0bf20,42,697,0.06025825
app_domain,ad63ec9b,32,1092,0.029304029
app_domain,4.75E+99,28,337,0.083086053
app_domain,c6824def,25,853,0.029308324
app_domain,f2f777fb,24,375,0.064
app_domain,6a0a3a9d,19,157,0.121019108
app_domain,e5d5313f,19,129,0.147286822
app_domain,9ec164d3,11,131,0.083969466
app_domain,43cf4f06,7,439,0.01594533
app_domain,2b627705,7,154,0.045454545
app_domain,15ec7f39,6,703,0.008534851
app_domain,448ca2e3,6,246,0.024390244
app_domain,db829551,5,213,0.023474178
app_domain,828da833,3,509,0.00589391
app_domain,18eb4e75,1,106,0.009433962
app_domain,b12ff13e,1,114,0.00877193
app_domain,d6feb1a4,0,132,0
app_id,ecad2386,295962,1478532,0.200172874
app_id,e2fcccd2,12289,61475,0.199902399
app_id,7358e05e,7510,37793,0.198714048
app_id,a5184c22,7020,27783,0.252672498
app_id,9c13b419,6846,22425,0.305284281
app_id,54c5d545,2919,22723,0.128460151
app_id,66f5e02e,2701,12738,0.212042707
app_id,03528b27,2656,18279,0.145303354
app_id,e2a1ca37,2183,14966,0.145863958
app_id,febd1138,1998,42102,0.047456178
app_id,98fed791,1907,13882,0.137372137
app_id,92f5800b,1876,96891,0.019361963
app_id,Other,1780,11345,0.156897312
app_id,be7c618d,1213,7691,0.157716812
app_id,4e02fbd3,1206,4791,0.251721979
app_id,396df801,1187,4791,0.24775621
app_id,f0d41ff1,1063,17024,0.062441259
app_id,de97da65,964,4755,0.202733964
app_id,f53417e1,878,11242,0.078099982
app_id,a4869716,862,3826,0.225300575
app_id,03a08c3f,852,13666,0.062344505
app_id,e96773f0,834,11990,0.069557965
app_id,d36838b1,754,10236,0.073661587
app_id,51cedd4e,693,13205,0.052480121
app_id,fb7c70a3,677,3305,0.20484115
app_id,08a53ae7,651,2063,0.315559864
app_id,685d1c4c,649,9123,0.07113888
app_id,3e2bf98d,571,2638,0.216451857
app_id,d644e4e7,571,3160,0.180696203
app_id,3c4b944d,555,3571,0.15541865
app_id,1dc72b4d,539,4555,0.118331504
app_id,2d869bee,539,2253,0.239236573
app_id,93d786c6,519,1994,0.260280843
app_id,a37bf1e4,509,1490,0.341610738
app_id,0acbeaa3,508,2753,0.184525972
app_id,a97b17d0,505,3166,0.159507265
app_id,e9739828,503,17610,0.028563316
app_id,ce183bbd,493,8657,0.056948134
app_id,197b4f7f,460,2096,0.219465649
app_id,c42a073f,449,702,0.63960114
app_id,255a58c8,432,1672,0.258373206
app_id,95827a92,409,423,0.966903073
app_id,7c7508aa,392,1967,0.199288256
app_id,ffc6ffd0,377,3050,0.123606557
app_id,3bfa19cb,364,3187,0.114213994
app_id,dfdd226c,362,986,0.367139959
app_id,85938df3,328,2507,0.130833666
app_id,d292c32f,326,1424,0.228932584
app_id,a0a45985,324,2003,0.161757364
app_id,f888bf4c,324,5797,0.055890978
app_id,090d3a47,322,1495,0.215384615
app_id,941f1635,310,447,0.693512304
app_id,73206397,308,10630,0.0289746
app_id,27550a3c,302,945,0.31957672
app_id,53de0284,287,4450,0.064494382
app_id,a2b190d4,280,1517,0.184574819
app_id,da90aa44,268,747,0.358768407
app_id,39947756,266,6027,0.044134727
app_id,fc46e1c5,263,907,0.289966924
app_id,9f41cdad,255,1015,0.251231527
app_id,c73fb408,251,710,0.353521127
app_id,a0fc55e5,246,895,0.274860335
app_id,89bdfe24,239,422,0.566350711
app_id,680e6a92,233,2434,0.095727198
app_id,4b08f369,229,3491,0.06559725
app_id,cf0327f9,217,2585,0.083945841
app_id,5fde3dd9,206,225,0.915555556
app_id,e71aba61,201,620,0.324193548
app_id,28d3bd59,188,2926,0.064251538
app_id,8b89048f,179,2514,0.071201273
app_id,088b6a7b,171,752,0.227393617
app_id,2f6efcf2,171,1059,0.161473088
app_id,822e3f34,169,247,0.684210526
app_id,08b5f605,162,875,0.185142857
app_id,316440d7,161,240,0.670833333
app_id,c0a736f4,150,727,0.206327373
app_id,3ebe76e6,149,231,0.645021645
app_id,aecfd81b,145,261,0.555555556
app_id,e96166c7,137,753,0.181938911
app_id,3f2a6cbb,133,5760,0.023090278
app_id,3692fd30,131,2083,0.062890062
app_id,0639409a,128,391,0.327365729
app_id,beb4afd2,117,226,0.517699115
app_id,be7bbf93,116,770,0.150649351
app_id,c8e3e3c1,106,2777,0.038170688
app_id,04f2be5f,104,2637,0.039438756
app_id,442cfede,103,2581,0.039907013
app_id,c105f675,99,1142,0.086690018
app_id,d33d55c4,95,636,0.149371069
app_id,6fef5db2,93,1629,0.057090239
app_id,5d74d2a4,92,1005,0.091542289
app_id,c1d5c84d,89,537,0.165735568
app_id,4b24c6ab,87,111,0.783783784
app_id,3aa4245a,87,566,0.153710247
app_id,ccf7ce7e,86,345,0.249275362
app_id,2017a228,86,197,0.436548223
app_id,cfbd8210,84,634,0.132492114
app_id,d7a5d468,84,270,0.311111111
app_id,65f37f55,82,298,0.275167785
app_id,13684a79,79,760,0.103947368
app_id,495d447f,79,1477,0.053486798
app_id,45aff1a2,77,3171,0.024282561
app_id,a4ef9e93,75,408,0.183823529
app_id,c7f29df3,74,991,0.074672048
app_id,558c2c17,73,106,0.688679245
app_id,93c9cf13,72,154,0.467532468
app_id,965b8076,72,172,0.418604651
app_id,8dbc921a,72,1877,0.038359084
app_id,1c4c71ef,71,583,0.121783877
app_id,0d50fd9b,71,239,0.29707113
app_id,8c0dcd5a,69,2743,0.02515494
app_id,e109e9bd,69,120,0.575
app_id,e8a706a6,67,337,0.198813056
app_id,5f8f6c12,66,76,0.868421053
app_id,28117800,65,325,0.2
app_id,75076517,65,933,0.069667738
app_id,a607e6a7,64,845,0.075739645
app_id,01c65a69,63,92,0.684782609
app_id,49227c50,63,560,0.1125
app_id,cc1c2bd2,62,290,0.213793103
app_id,5064623a,61,597,0.102177554
app_id,08a2b59c,59,67,0.880597015
app_id,8b57a39e,58,300,0.193333333
app_id,d8784af5,55,2102,0.026165557
app_id,aac5e61b,54,186,0.290322581
app_id,36f58dec,53,655,0.080916031
app_id,8c329214,53,171,0.30994152
app_id,d94ab893,53,69,0.768115942
app_id,eac7f9fe,52,93,0.559139785
app_id,5325bfcf,51,79,0.64556962
app_id,8b3e13f8,51,294,0.173469388
app_id,c3f39675,51,836,0.061004785
app_id,21abb96c,51,379,0.134564644
app_id,617593f1,49,447,0.109619687
app_id,b5a10b93,49,130,0.376923077
app_id,826c565e,48,350,0.137142857
app_id,a27d9ec2,47,176,0.267045455
app_id,615f9b11,47,63,0.746031746
app_id,6fc85e22,47,1137,0.041336851
app_id,c776ba2a,47,1337,0.035153328
app_id,48476725,46,522,0.088122605
app_id,af163a84,46,110,0.418181818
app_id,c743495f,46,510,0.090196078
app_id,9d1bad7b,45,55,0.818181818
app_id,8be5974d,44,258,0.170542636
app_id,15d9cbec,44,72,0.611111111
app_id,74afe595,44,86,0.511627907
app_id,b7f64446,44,495,0.088888889
app_id,f4816d61,44,77,0.571428571
app_id,4cf2d1e2,43,138,0.311594203
app_id,af6ffa32,43,76,0.565789474
app_id,e5f1bafe,43,904,0.047566372
app_id,f7dd00ec,43,369,0.116531165
app_id,1980898c,42,433,0.096997691
app_id,ab56beaa,42,66,0.636363636
app_id,b8875973,42,674,0.06231454
